date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:13:41	201293/201293	---M--	200	added ('OK')	image/jpeg	etag:%223124d-5330e00691a40%22	https://global.yamaha-motor.com/showroom/papercraft/racing/img/photo/photo_001.jpg	T:/Site%20Mirror/Yamaha/global.yamaha-motor.com/showroom/papercraft/racing/img/photo/photo_001.jpg	(from https://global.yamaha-motor.com/showroom/papercraft/racing/)
09:13:42	19706/19706	---M--	200	added ('OK')	image/jpeg	etag:%225215-5330e00a62340%22	https://global.yamaha-motor.com/showroom/papercraft/racing/img/photo/photo_thumb_002.jpg	T:/Site%20Mirror/Yamaha/global.yamaha-motor.com/showroom/papercraft/racing/img/photo/photo_thumb_002.jpg	(from https://global.yamaha-motor.com/showroom/papercraft/racing/)
09:13:42	186546/186546	---M--	200	added ('OK')	image/jpeg	etag:%222d8b2-5330e00691a40%22	https://global.yamaha-motor.com/showroom/papercraft/racing/img/photo/photo_002.jpg	T:/Site%20Mirror/Yamaha/global.yamaha-motor.com/showroom/papercraft/racing/img/photo/photo_002.jpg	(from https://global.yamaha-motor.com/showroom/papercraft/racing/)
09:13:43	17501/17501	---M--	200	added ('OK')	image/jpeg	etag:%2248e2-5330e00a62340%22	https://global.yamaha-motor.com/showroom/papercraft/racing/img/photo/photo_thumb_003.jpg	T:/Site%20Mirror/Yamaha/global.yamaha-motor.com/showroom/papercraft/racing/img/photo/photo_thumb_003.jpg	(from https://global.yamaha-motor.com/showroom/papercraft/racing/)
09:13:43	172114/172114	---M--	200	added ('OK')	image/jpeg	etag:%222a052-5330e00691a40%22	https://global.yamaha-motor.com/showroom/papercraft/racing/img/photo/photo_003.jpg	T:/Site%20Mirror/Yamaha/global.yamaha-motor.com/showroom/papercraft/racing/img/photo/photo_003.jpg	(from https://global.yamaha-motor.com/showroom/papercraft/racing/)
09:13:43	22507/22507	---M--	200	added ('OK')	image/jpeg	etag:%225d22-5330e00a62340%22	https://global.yamaha-motor.com/showroom/papercraft/racing/img/photo/photo_thumb_004.jpg	T:/Site%20Mirror/Yamaha/global.yamaha-motor.com/showroom/papercraft/racing/img/photo/photo_thumb_004.jpg	(from https://global.yamaha-motor.com/showroom/papercraft/racing/)
09:13:44	210737/210737	---M--	200	added ('OK')	image/jpeg	etag:%2233731-5330e00691a40%22	https://global.yamaha-motor.com/showroom/papercraft/racing/img/photo/photo_004.jpg	T:/Site%20Mirror/Yamaha/global.yamaha-motor.com/showroom/papercraft/racing/img/photo/photo_004.jpg	(from https://global.yamaha-motor.com/showroom/papercraft/racing/)
09:13:45	22175/22175	---M--	200	added ('OK')	image/jpeg	etag:%225b81-5330e00a62340%22	https://global.yamaha-motor.com/showroom/papercraft/racing/img/photo/photo_thumb_005.jpg	T:/Site%20Mirror/Yamaha/global.yamaha-motor.com/showroom/papercraft/racing/img/photo/photo_thumb_005.jpg	(from https://global.yamaha-motor.com/showroom/papercraft/racing/)
09:13:45	250997/250997	---M--	200	added ('OK')	image/jpeg	etag:%223d475-5330e00785c80%22	https://global.yamaha-motor.com/showroom/papercraft/racing/img/photo/photo_005.jpg	T:/Site%20Mirror/Yamaha/global.yamaha-motor.com/showroom/papercraft/racing/img/photo/photo_005.jpg	(from https://global.yamaha-motor.com/showroom/papercraft/racing/)
09:13:45	17235/17235	---M--	200	added ('OK')	image/jpeg	etag:%2247f2-5330e00a62340%22	https://global.yamaha-motor.com/showroom/papercraft/racing/img/photo/photo_thumb_006.jpg	T:/Site%20Mirror/Yamaha/global.yamaha-motor.com/showroom/papercraft/racing/img/photo/photo_thumb_006.jpg	(from https://global.yamaha-motor.com/showroom/papercraft/racing/)
09:13:46	142661/142661	---M--	200	added ('OK')	image/jpeg	etag:%2222d45-5330e00785c80%22	https://global.yamaha-motor.com/showroom/papercraft/racing/img/photo/photo_006.jpg	T:/Site%20Mirror/Yamaha/global.yamaha-motor.com/showroom/papercraft/racing/img/photo/photo_006.jpg	(from https://global.yamaha-motor.com/showroom/papercraft/racing/)
09:13:46	21875/21875	---M--	200	added ('OK')	image/jpeg	etag:%225a09-5330e00a62340%22	https://global.yamaha-motor.com/showroom/papercraft/racing/img/photo/photo_thumb_007.jpg	T:/Site%20Mirror/Yamaha/global.yamaha-motor.com/showroom/papercraft/racing/img/photo/photo_thumb_007.jpg	(from https://global.yamaha-motor.com/showroom/papercraft/racing/)
09:13:47	16267/16267	---M--	200	added ('OK')	image/jpeg	etag:%224416-5330e00a62340%22	https://global.yamaha-motor.com/showroom/papercraft/racing/img/photo/photo_thumb_008.jpg	T:/Site%20Mirror/Yamaha/global.yamaha-motor.com/showroom/papercraft/racing/img/photo/photo_thumb_008.jpg	(from https://global.yamaha-motor.com/showroom/papercraft/racing/)
09:13:47	198203/198203	---M--	200	added ('OK')	image/jpeg	etag:%223063b-5330e00785c80%22	https://global.yamaha-motor.com/showroom/papercraft/racing/img/photo/photo_007.jpg	T:/Site%20Mirror/Yamaha/global.yamaha-motor.com/showroom/papercraft/racing/img/photo/photo_007.jpg	(from https://global.yamaha-motor.com/showroom/papercraft/racing/)
09:13:47	160891/160891	---M--	200	added ('OK')	image/jpeg	etag:%222747b-5330e00785c80%22	https://global.yamaha-motor.com/showroom/papercraft/racing/img/photo/photo_008.jpg	T:/Site%20Mirror/Yamaha/global.yamaha-motor.com/showroom/papercraft/racing/img/photo/photo_008.jpg	(from https://global.yamaha-motor.com/showroom/papercraft/racing/)
09:13:48	21435/21435	---M--	200	added ('OK')	image/jpeg	etag:%22592d-5330e00b56580%22	https://global.yamaha-motor.com/showroom/papercraft/racing/img/photo/photo_thumb_009.jpg	T:/Site%20Mirror/Yamaha/global.yamaha-motor.com/showroom/papercraft/racing/img/photo/photo_thumb_009.jpg	(from https://global.yamaha-motor.com/showroom/papercraft/racing/)
09:13:48	145717/145717	---M--	200	added ('OK')	image/jpeg	etag:%2223935-5330e00785c80%22	https://global.yamaha-motor.com/showroom/papercraft/racing/img/photo/photo_010.jpg	T:/Site%20Mirror/Yamaha/global.yamaha-motor.com/showroom/papercraft/racing/img/photo/photo_010.jpg	(from https://global.yamaha-motor.com/showroom/papercraft/racing/)
09:13:48	205334/205334	---M--	200	added ('OK')	image/jpeg	etag:%2232216-5330e00785c80%22	https://global.yamaha-motor.com/showroom/papercraft/racing/img/photo/photo_009.jpg	T:/Site%20Mirror/Yamaha/global.yamaha-motor.com/showroom/papercraft/racing/img/photo/photo_009.jpg	(from https://global.yamaha-motor.com/showroom/papercraft/racing/)
09:13:49	14252/14252	---M--	200	added ('OK')	image/jpeg	etag:%223bcf-5330e00b56580%22	https://global.yamaha-motor.com/showroom/papercraft/racing/img/photo/photo_thumb_010.jpg	T:/Site%20Mirror/Yamaha/global.yamaha-motor.com/showroom/papercraft/racing/img/photo/photo_thumb_010.jpg	(from https://global.yamaha-motor.com/showroom/papercraft/racing/)
09:13:49	140234/140234	---M--	200	added ('OK')	image/jpeg	etag:%22223ca-5330e00879ec0%22	https://global.yamaha-motor.com/showroom/papercraft/racing/img/photo/photo_011.jpg	T:/Site%20Mirror/Yamaha/global.yamaha-motor.com/showroom/papercraft/racing/img/photo/photo_011.jpg	(from https://global.yamaha-motor.com/showroom/papercraft/racing/)
09:13:49	16293/16293	---M--	200	added ('OK')	image/jpeg	etag:%2243e8-5330e00b56580%22	https://global.yamaha-motor.com/showroom/papercraft/racing/img/photo/photo_thumb_011.jpg	T:/Site%20Mirror/Yamaha/global.yamaha-motor.com/showroom/papercraft/racing/img/photo/photo_thumb_011.jpg	(from https://global.yamaha-motor.com/showroom/papercraft/racing/)
09:13:51	144073/144073	---M--	200	added ('OK')	image/jpeg	etag:%22232c9-5330e00879ec0%22	https://global.yamaha-motor.com/showroom/papercraft/racing/img/photo/photo_012.jpg	T:/Site%20Mirror/Yamaha/global.yamaha-motor.com/showroom/papercraft/racing/img/photo/photo_012.html	(from https://global.yamaha-motor.com/showroom/papercraft/racing/)
